act,feed,troph,watercol,body,Site,habitat
1,hunting macrofauna (predator),benthic invertivore;planktivore,benthic,elongated,AK,Seagrass
1,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic,short and / or deep,AK,Unvegetated
0,hunting macrofauna (predator),benthic invertivore,benthic,elongated,Baja,Seagrass
0,filtering plankton,planktivore,pelagic non-site attached,elongated,Baja,Unvegetated
1,hunting macrofauna (predator),higher carnivore,pelagic site attached,fusiform / normal;short and / or deep,BC,Seagrass
1,hunting macrofauna (predator),higher carnivore,benthic,short and / or deep,BC,Unvegetated
0,hunting macrofauna (predator),omnivore,pelagic non-site attached,fusiform / normal,Brazil,Seagrass
0,selective plankton feeding,omnivore,pelagic non-site attached,fusiform / normal,Brazil,Unvegetated
0,hunting macrofauna (predator),planktivore,pelagic site attached,elongated,CA,Seagrass
0,selective plankton feeding,planktivore,pelagic site attached,elongated,CA,Unvegetated
0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,fusiform / normal;short and / or deep,CA2,Seagrass
0,selective plankton feeding,planktivore,pelagic site attached,elongated,CA2,Unvegetated
0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal,short and / or deep,CA3,Seagrass
0,hunting macrofauna (predator),benthic invertivore;planktivore,benthic,elongated;fusiform / normal,CA3,Unvegetated
0,grazing on aquatic plants,omnivore,benthic,crab,Chile,Seagrass
0,filtering plankton,planktivore,pelagic non-site attached,fusiform / normal,Chile,Unvegetated
0,hunting macrofauna (predator),benthic invertivore;planktivore,benthic,fusiform / normal,Croatia,Seagrass
0,hunting macrofauna (predator),benthic invertivore;higher carnivore;omnivore;planktivore,benthic,fusiform / normal,Croatia,Unvegetated
0,browsing on substrate;selective plankton feeding;variable,omnivore;scraping herbivore,benthic;demersal,shrimp,DE,Unvegetated
0,selective plankton feeding,omnivore,benthic,fusiform / normal,France,Seagrass
0,hunting macrofauna (predator),benthic invertivore;higher carnivore;omnivore;planktivore,demersal,fusiform / normal,France,Unvegetated
1,hunting macrofauna (predator),benthic invertivore,pelagic non-site attached,fusiform / normal,Korea,Seagrass
1,hunting macrofauna (predator),benthic invertivore,benthic,fusiform / normal,Korea,Unvegetated
1,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,fusiform / normal,MA,Seagrass
1,hunting macrofauna (predator),benthic invertivore,benthic,short and / or deep,MA,Unvegetated
0,hunting macrofauna (predator),omnivore,demersal,fusiform / normal,NC,Seagrass
0,hunting macrofauna (predator),omnivore,demersal,fusiform / normal,NC,Unvegetated
0,hunting macrofauna (predator),omnivore,demersal,fusiform / normal,NC2,Seagrass
1,hunting macrofauna (predator),higher carnivore;planktivore,demersal,fusiform / normal,Norway,Seagrass
1,hunting macrofauna (predator),benthic invertivore,benthic,elongated;fusiform / normal,Norway,Unvegetated
0,browsing on substrate,scraping herbivore,demersal,shrimp,NSW1,Seagrass
0,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal,NSW1,Unvegetated
1,selective plankton feeding,planktivore,demersal,fusiform / normal,NSW2,Seagrass
1,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal,NSW2,Unvegetated
0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,short and / or deep,OR,Seagrass
0,hunting macrofauna (predator),omnivore,benthic,crab,OR,Unvegetated
0,selective plankton feeding,benthic invertivore;planktivore,demersal,elongated,QC,Seagrass
0,hunting macrofauna (predator);variable,benthic invertivore;omnivore,benthic,crab,QC,Unvegetated
0,grazing on aquatic plants,browsing herbivore,demersal,fusiform / normal,QLD2,Seagrass
0,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal,QLD2,Unvegetated
1,selective plankton feeding,planktivore,demersal,fusiform / normal,QLD3,Seagrass
1,selective plankton feeding,planktivore,demersal,fusiform / normal,QLD3,Unvegetated
0,variable,benthic invertivore,pelagic site attached,elongated,QLD4,Seagrass
0,hunting macrofauna (predator),benthic invertivore;planktivore,pelagic site attached,elongated,QLD4,Unvegetated
0,selective plankton feeding,benthic invertivore;planktivore,pelagic site attached,elongated,TX,Seagrass
0,selective plankton feeding,benthic invertivore;planktivore,pelagic site attached,elongated,TX,Unvegetated
0,hunting macrofauna (predator),higher carnivore,pelagic non-site attached,elongated,VA,Seagrass
0,selective plankton feeding,benthic invertivore;planktivore,pelagic site attached,elongated,VA2,Seagrass
0,selective plankton feeding,benthic invertivore;planktivore,pelagic site attached,elongated,VA2,Unvegetated
0,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal;short and / or deep,VIC,Seagrass
0,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal;short and / or deep,VIC,Unvegetated
0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,short and / or deep,WA,Seagrass
0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,short and / or deep,WA,Unvegetated
0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,short and / or deep,WA2,Seagrass
0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,short and / or deep,WA2,Unvegetated
0,selective plankton feeding,planktivore,pelagic site attached,elongated,Wales,Seagrass
1,hunting macrofauna (predator),benthic invertivore;higher carnivore;omnivore;planktivore,benthic,fusiform / normal,Wales,Unvegetated
