Site,habitat,act.ratio.ind,act.ratio.tax,richness
AK,Seagrass,0.16666666666666666,0.16666666666666666,12
AK,Unvegetated,0,0,5
Baja,Seagrass,0.5,0.5,12
Baja,Unvegetated,0.5833333333333334,0.5833333333333334,12
BC,Seagrass,0.3157894736842105,0.3157894736842105,19
BC,Unvegetated,0,0,3
Brazil,Seagrass,0.7777777777777778,0.7777777777777778,9
Brazil,Unvegetated,0.9,0.9,10
CA,Seagrass,0.4444444444444444,0.4444444444444444,18
CA,Unvegetated,0.25,0.25,12
CA2,Seagrass,0.6,0.6,10
CA2,Unvegetated,0.38461538461538464,0.38461538461538464,13
CA3,Seagrass,0.6666666666666666,0.6666666666666666,12
CA3,Unvegetated,0.7777777777777778,0.7777777777777778,9
Chile,Seagrass,0.6666666666666666,0.6666666666666666,9
Chile,Unvegetated,0.8181818181818182,0.8181818181818182,11
Croatia,Seagrass,0.6875,0.6875,16
Croatia,Unvegetated,0.5714285714285714,0.5714285714285714,14
DE,Unvegetated,0.75,0.75,4
FL,Seagrass,1,1,4
FL,Unvegetated,1,1,6
France,Seagrass,0.5833333333333334,0.5833333333333334,12
France,Unvegetated,0.8,0.8,10
Italy,Seagrass,0.8461538461538461,0.8461538461538461,13
Italy,Unvegetated,0.8888888888888888,0.8888888888888888,9
Korea,Seagrass,0.5263157894736842,0.5263157894736842,19
Korea,Unvegetated,0.5,0.5,16
MA,Seagrass,0.25,0.25,4
MA,Unvegetated,0,0,3
NC,Seagrass,0.6842105263157895,0.6842105263157895,19
NC,Unvegetated,0.8181818181818182,0.8181818181818182,11
NC2,Seagrass,1,1,2
Norway,Seagrass,0.5454545454545454,0.5454545454545454,11
Norway,Unvegetated,0.5,0.5,6
NSW1,Seagrass,0.7222222222222222,0.7222222222222222,18
NSW1,Unvegetated,0.6666666666666666,0.6666666666666666,6
NSW2,Seagrass,0.6153846153846154,0.6153846153846154,13
NSW2,Unvegetated,0.6923076923076923,0.6923076923076923,13
OR,Seagrass,0.7,0.7,10
OR,Unvegetated,0.5,0.5,10
QC,Seagrass,0.8888888888888888,0.8888888888888888,9
QC,Unvegetated,0.8571428571428571,0.8571428571428571,7
QLD2,Seagrass,0.6923076923076923,0.6923076923076923,13
QLD2,Unvegetated,0.8,0.8,5
QLD3,Seagrass,0.84,0.84,50
QLD3,Unvegetated,0.8695652173913043,0.8695652173913043,23
QLD4,Seagrass,0.6923076923076923,0.6923076923076923,26
QLD4,Unvegetated,0.6363636363636364,0.6363636363636364,11
TX,Seagrass,0.7692307692307693,0.7692307692307693,26
TX,Unvegetated,0.8260869565217391,0.8260869565217391,23
VA,Seagrass,1,1,3
VA2,Seagrass,0.8,0.8,10
VA2,Unvegetated,1,1,6
VIC,Seagrass,0.5454545454545454,0.5454545454545454,11
VIC,Unvegetated,0.4444444444444444,0.4444444444444444,9
WA,Seagrass,0.5555555555555556,0.5555555555555556,9
WA,Unvegetated,1,1,1
WA2,Seagrass,0.6666666666666666,0.6666666666666666,9
WA2,Unvegetated,0.625,0.625,8
Wales,Seagrass,0.5333333333333333,0.5333333333333333,15
Wales,Unvegetated,0.3888888888888889,0.3888888888888889,18
Yuca1,Seagrass,1,1,8
Yuca1,Unvegetated,1,1,7
Yuca2,Seagrass,0.8888888888888888,0.8888888888888888,9
Yuca2,Unvegetated,0.9444444444444444,0.9444444444444444,18
